날짜,basis,basis_risk
2023-07-31,2.9399999999999977,
2023-08-01,3.5299999999999727,-0.589999999999975
2023-08-02,3.1999999999999886,-0.3299999999999841
2023-08-03,2.339999999999975,-0.8600000000000136
2023-08-04,2.319999999999993,-0.01999999999998181
2023-08-07,2.3500000000000227,0.03000000000002956
2023-08-08,2.7700000000000387,0.4200000000000159
2023-08-09,2.430000000000007,0.34000000000003183
2023-08-10,2.6999999999999886,0.2699999999999818
2023-08-11,2.8999999999999773,0.19999999999998863
2023-08-14,2.430000000000007,-0.46999999999997044
2023-08-16,2.1100000000000136,-0.3199999999999932
2023-08-17,1.8899999999999864,-0.22000000000002728
2023-08-18,1.8100000000000023,-0.07999999999998408
2023-08-21,2.009999999999991,0.19999999999998863
2023-08-22,1.92999999999995,0.08000000000004093
2023-08-23,1.6999999999999886,-0.22999999999996135
2023-08-24,1.4599999999999795,0.2400000000000091
2023-08-25,1.5299999999999727,0.06999999999999318
2023-08-28,1.990000000000009,-0.4600000000000364
2023-08-29,1.579999999999984,0.410000000000025
2023-08-30,1.2399999999999523,0.34000000000003183
2023-08-31,2.259999999999991,0.8199999999999932
2023-09-01,1.3599999999999568,0.9000000000000341
2023-09-04,1.8999999999999773,-0.5400000000000205
2023-09-05,1.5200000000000387,-0.3199999999999932
2023-09-06,1.75,0.22999999999996135
2023-09-07,1.75,0.0
2023-09-08,2.009999999999991,-0.2599999999999909
2023-09-11,1.7900000000000205,0.21999999999997044
2023-09-12,1.4600000000000364,-0.3299999999999841
2023-09-13,1.6299999999999955,-0.16999999999995907
2023-09-14,2.269999999999982,-0.6399999999999864
2023-09-15,1.919999999999959,0.35000000000002274
2023-09-18,2.019999999999982,0.10000000000002274
2023-09-19,1.3899999999999864,-0.6299999999999955
2023-09-20,1.4499999999999886,-0.060000000000002274
2023-09-21,0.839999999999975,-0.6100000000000136
2023-09-22,0.9399999999999977,0.10000000000002274
2023-09-25,1.5400000000000205,0.39999999999997726
2023-09-26,1.829999999999984,0.2899999999999636
2023-09-27,1.1200000000000045,0.410000000000025
2023-10-04,1.0199999999999818,-0.10000000000002274
2023-10-05,1.259999999999991,0.2400000000000091
2023-10-06,1.3500000000000227,-0.09000000000003183
2023-10-10,1.839999999999975,-0.48999999999995225
2023-10-11,1.6099999999999568,0.2300000000000182
2023-10-12,1.8700000000000045,-0.26000000000004775
2023-10-13,1.420000000000016,-0.44999999999998863
2023-10-16,1.4099999999999682,-0.010000000000047748
2023-10-17,1.3199999999999932,0.08999999999997499
2023-10-18,1.4599999999999795,-0.13999999999998636
2023-10-19,1.1800000000000068,-0.2799999999999727
2023-10-20,0.9500000000000455,-0.22999999999996135
2023-10-23,1.5600000000000023,0.6099999999999568
