체결시간,basis_시가
20231024144500,1.0600000000000023
20231024140000,1.089999999999975
20231024131500,1.1299999999999955
20231024123000,1.2699999999999818
20231024114500,1.400000000000034
20231024110000,1.160000000000025
20231024101500,1.240000000000009
20231024093000,1.07000000000005
20231023153000,1.5600000000000023
20231023144500,1.2199999999999704
20231023140000,1.329999999999984
20231023131500,0.9900000000000091
20231023123000,1.1000000000000227
20231023114500,0.9700000000000273
20231023110000,0.8799999999999955
20231023101500,0.9899999999999523
20231023093000,1.25
20231020153000,0.9500000000000455
20231020144500,1.259999999999991
20231020140000,1.1899999999999977
20231020131500,1.1100000000000136
20231020123000,1.3899999999999864
20231020114500,1.2900000000000205
20231020110000,1.3899999999999864
20231020101500,1.3700000000000045
20231020093000,1.0900000000000318
20231019153000,1.1800000000000068
20231019144500,1.1999999999999886
20231019140000,1.1299999999999955
20231019131500,1.1800000000000068
20231019123000,1.2699999999999818
20231019114500,1.089999999999975
20231019110000,1.3700000000000045
20231019101500,1.2700000000000387
20231019093000,1.1899999999999977
20231018153000,1.4599999999999795
20231018144500,1.6899999999999977
20231018140000,1.4399999999999977
20231018131500,1.420000000000016
20231018123000,1.400000000000034
20231018114500,1.3700000000000045
20231018110000,1.4399999999999977
20231018101500,1.509999999999991
20231018093000,1.329999999999984
20231017153000,1.3199999999999932
20231017144500,1.5699999999999932
20231017140000,1.410000000000025
20231017131500,1.4700000000000273
20231017123000,1.3700000000000045
20231017114500,1.4799999999999613
20231017110000,1.5900000000000318
20231017101500,1.5900000000000318
20231017093000,1.670000000000016
20231016153000,1.4099999999999682
20231016144500,1.3899999999999864
20231016140000,1.490000000000009
20231016131500,1.660000000000025
20231016123000,1.6399999999999864
20231016114500,1.4500000000000455
20231016110000,1.579999999999984
20231016101500,1.5
20231016093000,1.3500000000000227
20231013153000,1.420000000000016
20231013144500,1.5500000000000114
20231013140000,1.42999999999995
20231013131500,1.490000000000009
20231013123000,1.5499999999999545
20231013114500,1.2899999999999636
20231013110000,1.5600000000000023
20231013101500,1.579999999999984
20231013093000,1.150000000000034
20231012153000,1.8700000000000045
20231012144500,1.7100000000000364
20231012140000,1.920000000000016
20231012131500,2.0400000000000205
20231012123000,2.0299999999999727
20231012114500,1.7900000000000205
20231012110000,1.6499999999999773
20231012101500,1.7099999999999795
20231012093000,1.589999999999975
20231011153000,1.6099999999999568
20231011144500,1.9899999999999523
20231011140000,1.7699999999999818
20231011131500,2.089999999999975
20231011123000,1.9399999999999977
20231011114500,2.0399999999999636
20231011110000,1.7199999999999704
20231011101500,1.8600000000000136
20231011093000,1.9399999999999977
20231010153000,1.839999999999975
20231010144500,1.6899999999999977
20231010140000,1.6800000000000068
20231010131500,1.4399999999999977
20231010123000,1.6800000000000068
20231010114500,1.6999999999999886
20231010110000,1.6899999999999977
20231010101500,1.490000000000009
20231010093000,1.849999999999966
20231006153000,1.3500000000000227
20231006144500,1.589999999999975
20231006140000,1.3700000000000045
20231006131500,1.4499999999999886
20231006123000,1.25
20231006114500,1.3700000000000045
20231006110000,1.42999999999995
20231006101500,1.2900000000000205
20231006093000,1.240000000000009
20231005153000,1.259999999999991
20231005144500,1.170000000000016
20231005140000,1.170000000000016
20231005131500,0.9900000000000091
20231005123000,1.0699999999999932
20231005114500,1.0699999999999932
20231005110000,1.0900000000000318
20231005101500,0.9900000000000091
20231005093000,0.910000000000025
20231004153000,1.0199999999999818
20231004144500,1.150000000000034
20231004140000,0.7599999999999909
20231004131500,0.8500000000000227
20231004123000,0.7800000000000296
20231004114500,0.8600000000000136
20231004110000,0.6299999999999955
20231004101500,0.6100000000000136
20231004093000,0.6399999999999864
20230927153000,1.1200000000000045
20230927144500,1.4700000000000273
20230927140000,1.9499999999999886
20230927131500,1.6899999999999977
20230927123000,1.6000000000000227
20230927114500,1.4500000000000455
20230927110000,1.740000000000009
20230927101500,1.6899999999999977
20230927093000,1.6899999999999977
20230926153000,1.829999999999984
20230926144500,1.4399999999999977
20230926140000,1.8000000000000114
20230926131500,1.3700000000000045
20230926123000,1.3199999999999932
20230926114500,1.5400000000000205
20230926110000,1.5699999999999932
20230926101500,1.6899999999999977
20230926093000,1.509999999999991
20230925153000,1.5400000000000205
20230925144500,1.4899999999999523
20230925140000,1.2199999999999704
20230925131500,1.259999999999991
20230925123000,1.1399999999999864
20230925114500,1.1399999999999864
20230925110000,0.8700000000000045
20230925101500,1.25
20230925093000,0.8899999999999864
20230922153000,0.9399999999999977
20230922144500,1.3799999999999955
20230922140000,1.1999999999999886
20230922131500,0.92999999999995
20230922123000,1.2199999999999704
20230922114500,0.9399999999999977
20230922110000,0.75
20230922101500,1.0499999999999545
20230922093000,0.8100000000000023
20230921153000,0.839999999999975
20230921144500,1.079999999999984
20230921140000,1.2000000000000455
20230921131500,1.1599999999999682
20230921123000,0.92999999999995
20230921114500,1.0699999999999932
20230921110000,1.0
20230921101500,1.1399999999999864
20230921093000,1.1200000000000045
20230920153000,1.4499999999999886
20230920144500,1.4399999999999977
20230920140000,1.7100000000000364
20230920131500,1.490000000000009
20230920123000,1.7999999999999545
20230920114500,1.75
20230920110000,1.6099999999999568
20230920101500,1.3999999999999773
20230920093000,1.4499999999999886
20230919153000,1.3899999999999864
20230919144500,1.509999999999991
20230919140000,1.5699999999999932
20230919131500,1.6100000000000136
